,Vieta,Zaidejas,Komanda,Rungtynes,Suma
0,1,Donatas Sabeckis,Šiauliai,31,217
1,2,Žygimantas Janavičius,Neptūnas,32,192
2,3,Ahmad Caver,Wolves,33,191
3,4,Elvar Fridriksson,Rytas,42,186
4,5,Joshua Newkirk,Gargždai,33,182
5,6,Goran Huskič,CBet,41,179
6,7,Kristian Kullamae,7bet-Lietkabelis,45,160
7,8,Dovis Bičkauskis,CBet,43,157
8,9,Marius Valinskas,Nevėžis–Optibet,34,141
9,10,Edgaras Ulanovas,Žalgiris,40,132
10,11,Glynn Watson,CBet,30,126
11,12,Jamel Morris,7bet-Lietkabelis,42,123
12,13,Margiris Normantas,Rytas,39,119
13,14,Bradley Davison,Nevėžis–Optibet,35,118
14,15,Edvinas Šeškus,CBet,40,116
15,16,Marcus Foster,Rytas,37,115
16,17,Kristupas Žemaitis,Wolves,35,110
17,18,Corey Allen-Williams,Pieno žvaigždės,30,105
18,19,Antino Jackson,Šiauliai,22,104
19,20,Lukas Lekavičius,Žalgiris,40,104
20,21,Antino Jackson,Šiauliai,22,104
21,22,Artūrs Žagars,Nevėžis–Optibet,22,97
22,23,Vytenis Lipkevičius,7bet-Lietkabelis,43,96
23,24,Martynas Paliukėnas,Uniclub Casino - Juventus,33,94
24,25,Adas Juškevičius,Wolves,33,92
25,26,Martynas Varnas,Šiauliai,25,89
26,27,Alexander Hamilton,Uniclub Casino - Juventus,21,89
27,28,Kyan Anderson,Labas Gas,22,87
28,29,Gabrielius Maldūnas,7bet-Lietkabelis,45,86
29,30,Aurimas Urbonas,Gargždai,24,85
30,31,Brandon Brown,Uniclub Casino - Juventus,32,85
31,32,Tim Lambrecht,Nevėžis–Optibet,35,84
32,33,Martynas Gecevičius,Uniclub Casino - Juventus,36,83
33,34,Benedek Varadi,Rytas,28,80
34,35,Deividas Gailius,Neptūnas,33,79
35,36,Jawun Evans,Uniclub Casino - Juventus,14,77
36,37,Jeffery Garrett,CBet,43,76
37,38,Stefan Peno,7bet-Lietkabelis,24,76
38,39,Julius Kazakauskas,Gargždai,30,75
39,40,Matas Jogėla,Neptūnas,34,74
40,41,Isaiah Taylor,Žalgiris,21,74
41,42,Arnas Butkevičius,Žalgiris,38,72
42,43,Dominykas Domarkas,Labas Gas,29,69
43,44,Kendale McCullum,Rytas,18,69
44,45,Rolands Šmits,Žalgiris,40,67
45,46,Mindaugas Girdžiūnas,Neptūnas,34,65
46,47,Ignas Brazdeikis,Žalgiris,40,65
47,48,Kyle Mangas,Šiauliai,33,63
48,49,Gintautas Matulis,Uniclub Casino - Juventus,35,59
49,50,Evaldas Šaulys,Pieno žvaigždės,33,59
50,51,Gediminas Orelik,7bet-Lietkabelis,23,56
51,52,Gytis Radzevičius,Rytas,39,56
52,53,Eigirdas Žukauskas,Wolves,34,51
53,54,Jonathan Davis,Uniclub Casino - Juventus,13,51
54,55,Karolis Giedraitis,Labas Gas,31,50
55,56,Žygimantas Skučas,Uniclub Casino - Juventus,34,49
56,57,Dovydas Giedraitis,Žalgiris,30,49
57,58,Marius Runkauskas,Gargždai,26,47
58,59,Justas Furmanavičius,Pieno žvaigždės,29,47
59,60,Arminas Urbutis,Šiauliai,32,46
60,61,Arminas Urbutis,Šiauliai,32,46
61,62,Isiah Osborne,Gargždai,29,45
62,63,Mantas Rubštavičius,7bet-Lietkabelis,41,45
63,64,John Gillon,Pieno žvaigždės,12,45
64,65,Rokas Gustys,Neptūnas,33,45
65,66,Jorden Duffy,7bet-Lietkabelis,19,45
66,67,Justin Alston,Uniclub Casino - Juventus,35,45
67,68,Keenan Evans,Žalgiris,10,44
68,69,Željko Šakič,7bet-Lietkabelis,32,44
69,70,Arnas Beručka,Wolves,35,42
70,71,Ignas Vaitkus,Pieno žvaigždės,30,42
71,72,Matas Vaitkus,Neptūnas,34,41
72,73,Vytautas Šulskis,CBet,38,40
73,74,Deshawn Freeman,Nevėžis–Optibet,21,40
74,75,Giedrius Staniulis,Gargždai,26,40
75,76,Lukas Uleckas,Rytas,39,39
76,77,Achille Polonara,Žalgiris,21,39
77,78,Jeffery Taylor,Wolves,14,39
78,79,Marcos Delia,Wolves,32,38
79,80,Karolis Lukošiūnas,Žalgiris,40,38
80,81,Oskaras Pleikys,Neptūnas,34,37
81,82,Jonas Zohore Bergstedt,Šiauliai,33,37
82,83,Jared Cunningham,Pieno žvaigždės,18,36
83,84,Rinalds Malmanis,Neptūnas,33,36
84,85,Maliek White,Neptūnas,14,36
85,86,Danielius Lavrinovičius,Nevėžis–Optibet,34,36
86,87,Rihards Kuksiks,Pieno žvaigždės,29,35
87,88,Darius Tarvydas,Labas Gas,23,35
88,89,Laurynas Birutis,Žalgiris,42,34
89,90,Reginald Lynch,Uniclub Casino - Juventus,21,34
90,91,Justin Gorham,Rytas,19,33
91,92,Mantas Kalnietis,Žalgiris,11,33
92,93,Paulius Murauskas,7bet-Lietkabelis,43,33
93,94,Aaron Cook,Nevėžis–Optibet,12,33
94,95,Martins Laksa,CBet,40,32
95,96,Martynas Zigmantavičius,Pieno žvaigždės,22,32
96,97,Jordan Williams,Labas Gas,12,31
97,98,Nikola Popovic,7bet-Lietkabelis,28,31
98,99,Paulius Danusevičius,Šiauliai,33,31
99,100,Mindaugas Stašys,Gargždai,20,30
100,101,Gyorgy Goloman,7bet-Lietkabelis,42,30
101,102,Artūras Valeika,CBet,24,29
102,103,Mindaugas Lukauskis,Wolves,33,29
103,104,Jylan Washington,Gargždai,27,28
104,105,Titas Sargiūnas,Nevėžis–Optibet,30,28
105,106,Tauras Jogėla,Labas Gas,18,26
106,107,Martynas Pacevičius,Pieno žvaigždės,25,26
107,108,Hugo Invernizzi,Wolves,16,26
108,109,Martynas Echodas,Rytas,23,25
109,110,Eimantas Stankevičius,Šiauliai,29,25
110,111,Reigarvius Williams,Rytas,15,25
111,112,Regimantas Miniotas,Wolves,30,24
112,113,Tyler Cavanaugh,Žalgiris,22,24
113,114,Gytis Masiulis,Rytas,43,23
114,115,Evaldas Kairys,Rytas,36,23
115,116,Tomas Lekūnas,Rytas,27,21
116,117,Mantas Ruikis,Gargždai,29,21
117,118,Kevarrius Hayes,Žalgiris,42,21
118,119,Paulius Petrilevičius,Nevėžis–Optibet,8,20
119,121,Domantas Vilys,Labas Gas,23,19
120,122,Aurimas Majauskas,CBet,17,19
121,123,Julius Jucikas,Pieno žvaigždės,20,18
122,124,Vitalijus Kozys,Wolves,20,18
