,Place,Player,Team,Games,Sum
0,1.,Dalia  Donskichytė,Klaipėdos Neptūnas,20,133
1,2.,Tyra Marie Buss,Kauno Aistės-LSMU,19,84
2,3.,Gabrielė  Šulskė,Vilniaus Kibirkštis,20,84
3,4.,Agnė  Černeckytė,Klaipėdos Neptūnas,20,67
4,5.,Justina  Miknaitė,Vilniaus Kibirkštis,21,67
5,6.,Gintarė  Petronytė,Vilniaus Kibirkštis,20,61
6,7.,Laurita  Jurčiūtė,Klaipėdos LCC tarptautinis universitetas,19,59
7,8.,Morgan  Lenahan,Šiaulių Šiauliai-Vilmers,12,57
8,9.,Brigita  Sinickaitė,Klaipėdos Neptūnas,18,53
9,10.,Eglė  Zabotkaitė,Vilniaus Kibirkštis,20,50
10,11.,Neda  Pliatkutė,Kauno Aistės-LSMU,18,47
11,12.,Salome  Cordinier,Klaipėdos LCC tarptautinis universitetas,20,44
12,13.,Maiara  Pereira Dias,Klaipėdos LCC tarptautinis universitetas,20,42
13,14.,Rachel Elise Theriot,Vilniaus Kibirkštis,14,40
14,15.,Deimantė  Žukaitė,Kauno Aistės-LSMU,18,40
15,16.,Maisa Pereira Dias,Klaipėdos LCC tarptautinis universitetas,20,40
16,17.,Ligita  Tamutytė,Klaipėdos Neptūnas,20,38
17,18.,Elizabete  Bulane,Klaipėdos LCC tarptautinis universitetas,16,35
18,19.,Karolina  Kazočiūnaitė,Vilniaus Kibirkštis,20,35
19,20.,Gintarė  Mažionytė,Vilniaus Kibirkštis,21,35
20,21.,Audronė  Zdanevičiūtė,Kauno Aistės-LSMU,18,34
21,22.,Danguolė  Pupkevičiūtė,Šiaulių Šiauliai-Vilmers,12,31
22,23.,Linda Victorine  Ndoli,Klaipėdos Neptūnas,20,31
23,24.,Viktoria  Balaban,Klaipėdos Neptūnas,19,30
24,25.,Gintarė  Paulauskaitė,Kauno Aistės-LSMU,18,27
25,26.,Urtė  Čižauskaitė,Kauno Aistės-LSMU,18,27
26,27.,Lina  Loceniece,Klaipėdos LCC tarptautinis universitetas,17,26
27,28.,Gerda  Raulušaitytė,Vilniaus Kibirkštis,21,26
28,29.,Uliana  Datsko,Klaipėdos Neptūnas,20,25
29,30.,Saulė  Mikelionytė,Klaipėdos Neptūnas,20,24
30,31.,Brigita  Rimkevičiūtė,Šiaulių Šiauliai-Vilmers,12,23
31,32.,Laura  Juškaitė,Vilniaus Kibirkštis,5,20
32,33.,Martyna   Petrėnaitė,Kauno Aistės-LSMU,19,19
33,34.,Gedvilė  Savostaitė,Kauno Aistės-LSMU,19,18
34,35.,Ugnė  Sirtautaitė,Vilniaus Kibirkštis,20,18
35,36.,Polina  Korbut,Klaipėdos LCC tarptautinis universitetas,20,17
36,37.,Justina   Kraujūnaitė,Vilniaus Kibirkštis,6,16
37,38.,Rūta  Stipra,Šiaulių Šiauliai-Vilmers,11,16
38,39.,Livija  Sakevičiūtė,Vilniaus Kibirkštis,19,14
39,40.,Amalija  Pašajevaitė,Kauno Aistės-LSMU,12,10
40,41.,Kateryna  Chikaodiri Dike,Klaipėdos LCC tarptautinis universitetas,17,10
41,42.,Yuliia  Hutevych,Šiaulių Šiauliai-Vilmers,5,9
42,43.,Kamilė  Berenytė,Šiaulių Šiauliai-Vilmers,11,8
43,44.,Enrika  Matiukaitė,Šiaulių Šiauliai-Vilmers,12,7
44,45.,Austė  Jurevičiūtė,Klaipėdos LCC tarptautinis universitetas,12,6
45,46.,Gustė  Drakšaitė,Klaipėdos LCC tarptautinis universitetas,14,5
46,47.,Justina  Oficerovaitė,Kauno Aistės-LSMU,14,5
47,48.,Karina  Budajeva,Klaipėdos LCC tarptautinis universitetas,10,3
48,49.,Saulė  Globytė,Klaipėdos Neptūnas,5,2
49,50.,Agnesė  Garčinskaitė,Kauno Aistės-LSMU,8,2
50,51.,Olha  Holodiuk,Šiaulių Šiauliai-Vilmers,10,2
51,52.,Kamilė  Mickutė,Klaipėdos Neptūnas,7,1
52,53.,Iryna  Savchuk,Šiaulių Šiauliai-Vilmers,9,1
