,Place,Player,Team,Games,Sum
0,1.,Gintarė  Petronytė,Vilniaus Kibirkštis,20,426
1,2.,Tyra Marie Buss,Kauno Aistės-LSMU,19,391
2,3.,Laurita  Jurčiūtė,Klaipėdos LCC tarptautinis universitetas,19,300
3,4.,Lina  Loceniece,Klaipėdos LCC tarptautinis universitetas,17,276
4,5.,Martyna   Petrėnaitė,Kauno Aistės-LSMU,19,244
5,6.,Linda Victorine  Ndoli,Klaipėdos Neptūnas,20,241
6,7.,Viktoria  Balaban,Klaipėdos Neptūnas,19,220
7,8.,Gabrielė  Šulskė,Vilniaus Kibirkštis,20,215
8,9.,Morgan  Lenahan,Šiaulių Šiauliai-Vilmers,12,210
9,10.,Agnė  Černeckytė,Klaipėdos Neptūnas,20,208
10,11.,Uliana  Datsko,Klaipėdos Neptūnas,20,200
11,12.,Ligita  Tamutytė,Klaipėdos Neptūnas,20,190
12,13.,Maiara  Pereira Dias,Klaipėdos LCC tarptautinis universitetas,20,189
13,14.,Maisa Pereira Dias,Klaipėdos LCC tarptautinis universitetas,20,183
14,15.,Gerda  Raulušaitytė,Vilniaus Kibirkštis,21,179
15,16.,Justina  Miknaitė,Vilniaus Kibirkštis,21,171
16,17.,Dalia  Donskichytė,Klaipėdos Neptūnas,20,170
17,18.,Karolina  Kazočiūnaitė,Vilniaus Kibirkštis,20,168
18,19.,Eglė  Zabotkaitė,Vilniaus Kibirkštis,20,159
19,20.,Audronė  Zdanevičiūtė,Kauno Aistės-LSMU,18,155
20,21.,Rūta  Stipra,Šiaulių Šiauliai-Vilmers,11,149
21,22.,Gintarė  Mažionytė,Vilniaus Kibirkštis,21,147
22,23.,Urtė  Čižauskaitė,Kauno Aistės-LSMU,18,141
23,24.,Brigita  Sinickaitė,Klaipėdos Neptūnas,18,135
24,25.,Gintarė  Paulauskaitė,Kauno Aistės-LSMU,18,133
25,26.,Danguolė  Pupkevičiūtė,Šiaulių Šiauliai-Vilmers,12,126
26,27.,Salome  Cordinier,Klaipėdos LCC tarptautinis universitetas,20,125
27,28.,Elizabete  Bulane,Klaipėdos LCC tarptautinis universitetas,16,124
28,29.,Rachel Elise Theriot,Vilniaus Kibirkštis,14,120
29,30.,Saulė  Mikelionytė,Klaipėdos Neptūnas,20,106
30,31.,Gedvilė  Savostaitė,Kauno Aistės-LSMU,19,101
31,32.,Ugnė  Sirtautaitė,Vilniaus Kibirkštis,20,100
32,33.,Enrika  Matiukaitė,Šiaulių Šiauliai-Vilmers,12,85
33,34.,Livija  Sakevičiūtė,Vilniaus Kibirkštis,19,80
34,35.,Laura  Juškaitė,Vilniaus Kibirkštis,5,68
35,36.,Brigita  Rimkevičiūtė,Šiaulių Šiauliai-Vilmers,12,68
36,37.,Kateryna  Chikaodiri Dike,Klaipėdos LCC tarptautinis universitetas,17,68
37,38.,Deimantė  Žukaitė,Kauno Aistės-LSMU,18,68
38,39.,Neda  Pliatkutė,Kauno Aistės-LSMU,18,62
39,40.,Polina  Korbut,Klaipėdos LCC tarptautinis universitetas,20,50
40,41.,Yuliia  Hutevych,Šiaulių Šiauliai-Vilmers,5,43
41,42.,Amalija  Pašajevaitė,Kauno Aistės-LSMU,12,35
42,43.,Kamilė  Berenytė,Šiaulių Šiauliai-Vilmers,11,34
43,44.,Olha  Holodiuk,Šiaulių Šiauliai-Vilmers,10,28
44,45.,Justina  Oficerovaitė,Kauno Aistės-LSMU,14,27
45,46.,Gustė  Drakšaitė,Klaipėdos LCC tarptautinis universitetas,14,24
46,47.,Iryna  Savchuk,Šiaulių Šiauliai-Vilmers,9,23
47,48.,Kamilė  Mickutė,Klaipėdos Neptūnas,7,18
48,49.,Justina   Kraujūnaitė,Vilniaus Kibirkštis,6,11
49,50.,Agnesė  Garčinskaitė,Kauno Aistės-LSMU,8,9
50,51.,Karina  Budajeva,Klaipėdos LCC tarptautinis universitetas,10,8
51,52.,Evelina  Razgutė,Kauno Aistės-LSMU,7,7
52,53.,Austė  Jurevičiūtė,Klaipėdos LCC tarptautinis universitetas,12,5
53,54.,Saulė  Globytė,Klaipėdos Neptūnas,5,3
