,Place,Player,Team,Games,Sum
0,1,Jamel Morris,7bet-Lietkabelis,42,625
1,2,Marcus Foster,Rytas,37,612
2,3,Jeffery Garrett,CBet,43,599
3,4,Kristian Kullamae,7bet-Lietkabelis,45,584
4,5,Ahmad Caver,Wolves,33,564
5,6,Goran Huskič,CBet,41,516
6,7,Dovis Bičkauskis,CBet,43,482
7,8,Bradley Davison,Nevėžis–Optibet,35,480
8,9,Joshua Newkirk,Gargždai,33,479
9,10,Edvinas Šeškus,CBet,40,458
10,11,Tim Lambrecht,Nevėžis–Optibet,35,454
11,12,Matas Jogėla,Neptūnas,34,450
12,13,Deividas Gailius,Neptūnas,33,446
13,14,Justin Alston,Uniclub Casino - Juventus,35,440
14,15,Gytis Radzevičius,Rytas,39,438
15,16,Glynn Watson,CBet,30,437
16,17,Martins Laksa,CBet,40,427
17,18,Margiris Normantas,Rytas,39,418
18,19,Edgaras Ulanovas,Žalgiris,40,418
19,20,Kyle Mangas,Šiauliai,33,405
20,21,Laurynas Birutis,Žalgiris,42,402
21,22,Eigirdas Žukauskas,Wolves,34,385
22,23,Elvar Fridriksson,Rytas,42,374
23,24,Marius Valinskas,Nevėžis–Optibet,34,371
24,25,Brandon Brown,Uniclub Casino - Juventus,32,369
25,26,Danielius Lavrinovičius,Nevėžis–Optibet,34,368
26,27,Mindaugas Girdžiūnas,Neptūnas,34,365
27,28,Vytenis Lipkevičius,7bet-Lietkabelis,43,362
28,29,Isiah Osborne,Gargždai,29,360
29,30,Adas Juškevičius,Wolves,33,354
30,31,Deshawn Freeman,Nevėžis–Optibet,21,351
31,32,Gytis Masiulis,Rytas,43,348
32,33,Giedrius Staniulis,Gargždai,26,346
33,34,Ignas Brazdeikis,Žalgiris,40,344
34,35,Martynas Varnas,Šiauliai,25,344
35,36,Artūrs Žagars,Nevėžis–Optibet,22,339
36,37,Arminas Urbutis,Šiauliai,32,337
37,38,Kyan Anderson,Labas Gas,22,337
38,39,Rolands Šmits,Žalgiris,40,336
39,40,Tomas Dimša,Žalgiris,43,332
40,41,Rihards Kuksiks,Pieno žvaigždės,29,326
41,42,Evaldas Šaulys,Pieno žvaigždės,33,323
42,43,Paulius Danusevičius,Šiauliai,33,316
43,44,Corey Allen-Williams,Pieno žvaigždės,30,314
44,45,Martynas Echodas,Rytas,23,311
45,46,Žygimantas Skučas,Uniclub Casino - Juventus,34,304
46,47,Kevarrius Hayes,Žalgiris,42,303
47,48,Lukas Lekavičius,Žalgiris,40,295
48,49,Gabrielius Maldūnas,7bet-Lietkabelis,45,294
49,50,Šarūnas Beniušis,Gargždai,33,291
50,51,Mantas Rubštavičius,7bet-Lietkabelis,41,291
51,52,Darius Tarvydas,Labas Gas,23,291
52,53,Karolis Giedraitis,Labas Gas,31,290
53,54,Žygimantas Janavičius,Neptūnas,32,289
54,55,Donatas Sabeckis,Šiauliai,31,285
55,56,Martynas Paliukėnas,Uniclub Casino - Juventus,33,284
56,57,Paulius Murauskas,7bet-Lietkabelis,43,284
57,58,Rokas Gustys,Neptūnas,33,281
58,59,Jonas Zohore Bergstedt,Šiauliai,33,279
59,60,Alexander Hamilton,Uniclub Casino - Juventus,21,279
60,61,Alexander Hamilton,Uniclub Casino - Juventus,21,279
61,62,Ignas Vaitkus,Pieno žvaigždės,30,276
62,63,Daryl Doualla,Nevėžis–Optibet,33,276
63,64,Martynas Pacevičius,Pieno žvaigždės,25,267
64,65,Jylan Washington,Gargždai,27,264
65,66,Gyorgy Goloman,7bet-Lietkabelis,42,261
66,67,Austin Wiley,Neptūnas,23,251
67,68,Oskaras Pleikys,Neptūnas,34,245
68,69,Gintautas Matulis,Uniclub Casino - Juventus,35,244
69,70,Reginald Lynch,Uniclub Casino - Juventus,21,240
70,71,Lukas Uleckas,Rytas,39,239
71,72,Regimantas Miniotas,Wolves,30,238
72,73,Kristupas Žemaitis,Wolves,35,235
73,74,Evaldas Kairys,Rytas,36,233
74,75,Gediminas Orelik,7bet-Lietkabelis,23,232
75,76,Karolis Lukošiūnas,Žalgiris,40,232
76,77,Arnas Butkevičius,Žalgiris,38,232
77,78,Željko Šakič,7bet-Lietkabelis,32,229
78,79,Eimantas Stankevičius,Šiauliai,29,227
79,80,Nikola Popovic,7bet-Lietkabelis,28,226
80,81,Arnas Beručka,Wolves,35,219
81,82,Justas Furmanavičius,Pieno žvaigždės,29,219
82,83,Jared Cunningham,Pieno žvaigždės,18,212
83,84,Isaiah Taylor,Žalgiris,21,211
84,85,Benedek Varadi,Rytas,28,208
85,86,Jonathan Davis,Uniclub Casino - Juventus,13,207
86,87,Julius Kazakauskas,Gargždai,30,203
87,88,Marcos Delia,Wolves,32,203
88,89,Jawun Evans,Uniclub Casino - Juventus,14,201
89,90,Dominykas Domarkas,Labas Gas,29,190
90,91,Julius Jucikas,Pieno žvaigždės,20,188
91,92,Marius Runkauskas,Gargždai,26,186
92,93,Justin Gorham,Rytas,19,182
93,94,Tauras Jogėla,Labas Gas,18,182
94,95,Antino Jackson,Šiauliai,22,177
95,96,Jaime Echenique,Rytas,15,176
96,97,Justinas Jogminas,Labas Gas,23,174
97,98,Dovydas Romančenko,Uniclub Casino - Juventus,35,173
98,99,John Gillon,Pieno žvaigždės,12,165
99,100,Jeffery Taylor,Wolves,14,165
100,101,Tyler Cavanaugh,Žalgiris,22,163
101,102,Vytautas Šulskis,CBet,38,162
102,103,Mindaugas Lukauskis,Wolves,33,156
103,104,Nojus Mineikis,Neptūnas,27,156
104,105,Kendale McCullum,Rytas,18,156
105,106,Domantas Vilys,Labas Gas,23,155
106,107,Dovydas Giedraitis,Žalgiris,30,150
107,108,Matas Vaitkus,Neptūnas,34,142
108,109,Rinalds Malmanis,Neptūnas,33,141
109,110,Achille Polonara,Žalgiris,21,140
110,111,Daniel Baslyk,Šiauliai,33,136
111,112,Jorden Duffy,7bet-Lietkabelis,19,134
112,113,Artem Kovalov,Pieno žvaigždės,28,134
113,114,Aurimas Majauskas,CBet,17,132
114,115,Ernestas Sederevičius,Uniclub Casino - Juventus,33,127
115,116,Mantas Ruikis,Gargždai,29,126
116,117,Rashard Kelly,Wolves,11,126
117,118,Stefan Peno,7bet-Lietkabelis,24,125
118,119,Doko Šalič,Labas Gas,13,123
119,120,Reigarvius Williams,Rytas,15,115
120,121,Paulius Petrilevičius,Nevėžis–Optibet,8,112
121,122,Giedrius Bergaudas,Labas Gas,27,109
122,123,Eric Buckner,Wolves,12,104
123,124,Aurimas Urbonas,Gargždai,24,102
124,125,Keenan Evans,Žalgiris,10,99
125,126,Hugo Invernizzi,Wolves,16,98
126,127,Jamil Wilson,Labas Gas,9,97
127,128,Radoslav Pekovič,Šiauliai,14,95
128,129,Keith Benson,Uniclub Casino - Juventus,11,94
129,130,Titas Sargiūnas,Nevėžis–Optibet,30,92
130,131,Tomas Lekūnas,Rytas,27,91
131,132,Jordan Williams,Labas Gas,12,89
132,133,Benas Griciūnas,7bet-Lietkabelis,18,88
133,134,Artūras Valeika,CBet,24,87
134,135,Motiejus Krivas,Žalgiris,13,82
135,136,Vitalijus Kozys,Wolves,20,76
136,137,Rokas Gadiliauskas,Labas Gas,12,70
137,138,Maliek White,Neptūnas,14,70
138,139,Aaron Cook,Nevėžis–Optibet,12,68
139,141,Nemanja Bezbradica,Šiauliai,8,67
140,142,Justinas Marcinkevičius,Nevėžis–Optibet,20,65
141,143,Evan Maxwell,CBet,18,61
142,144,Robertas Keliačius,Labas Gas,8,60
143,145,Martynas Zigmantavičius,Pieno žvaigždės,22,58
144,146,Mindaugas Stašys,Gargždai,20,55
145,147,Ernestas Jonkus,Gargždai,8,53
146,148,Bryce Douvier,Šiauliai,10,48
147,149,Mintautas Mockus,Labas Gas,15,47
148,150,Jerai Grant,Wolves,4,44
149,151,Klaidas Metrikis,Labas Gas,10,43
150,152,Mantas Kalnietis,Žalgiris,11,42
151,153,Lukas Kreišmontas,CBet,17,41
152,154,Dorde Dželetovič,Pieno žvaigždės,9,40
153,155,Martynas Arlauskas,Pieno žvaigždės,23,34
154,156,Adas Šimonis,Rytas,13,30
155,157,Rafael Alberton Rodrigues,Nevėžis–Optibet,15,30
156,158,Aleksa Nikolič,Uniclub Casino - Juventus,20,27
157,161,Grantas Vasiliauskas,7bet-Lietkabelis,16,24
158,162,Liutauras Lelevičius,Žalgiris,10,23
159,163,Juan Gomez de Liano,Wolves,7,21
160,164,Mantvydas Staniulis,CBet,8,20
161,165,Dominykas Stenionis,Nevėžis–Optibet,6,19
162,166,Tomas Verbinskis,Nevėžis–Optibet,28,19
163,167,Modestas Babraitis,Rytas,3,18
164,168,Arnas Adomavičius,Labas Gas,7,11
165,169,Jokūbas Rubinas,Šiauliai,8,10
166,170,Tadas Pažėra,Uniclub Casino - Juventus,2,9
167,171,Shaquille Keith,Labas Gas,2,9
168,172,Deividas Žukauskas,Šiauliai,4,9
169,173,Herkus Kumpys,Wolves,4,8
170,174,Kaspars Berzins,Uniclub Casino - Juventus,1,8
171,175,Kajus Kublickas,Žalgiris,2,8
172,176,Mantas Litvinas,Šiauliai,3,7
173,181,Adomas Sidarevičius,Neptūnas,8,5
174,182,Matas Repšys,Neptūnas,5,4
175,183,Vaidas Čepukaitis,Wolves,1,3
176,184,Tomas Pačėsas,Wolves,5,3
177,185,Lorenas Stoškevičius,Nevėžis–Optibet,17,3
178,186,Gediminas Leščiauskas,Neptūnas,7,2
179,187,Kajus Leliukas,Šiauliai,3,2
180,188,Juozas Virkutis,Gargždai,6,2
181,189,Nikas Stuknys,7bet-Lietkabelis,4,2
182,190,Mantas Gūžys,Labas Gas,6,2
183,191,Xavier Thames,CBet,1,1
184,192,Robertas Indrišiūnas,Pieno žvaigždės,1,0
185,193,Nedas Rauluševičius,CBet,1,0
186,194,Mantas Gezevičius,CBet,8,0
187,195,Edas Valenta,Labas Gas,3,0
188,196,Robertas Syčius,CBet,9,0
189,201,Gustas Grabauskas,Šiauliai,2,0
190,202,Kristupas Umantas,Gargždai,2,0
191,203,Paulius Kulikauskas,Gargždai,3,0
