,Place,Player,Team,Games,Sum
0,1,Jeffery Garrett,CBet,43,312
1,2,Tim Lambrecht,Nevėžis–Optibet,35,264
2,3,Gytis Radzevičius,Rytas,39,226
3,4,Laurynas Birutis,Žalgiris,42,211
4,5,Gabrielius Maldūnas,7bet-Lietkabelis,45,209
5,6,Austin Wiley,Neptūnas,23,205
6,7,Justin Alston,Uniclub Casino - Juventus,35,198
7,8,Giedrius Staniulis,Gargždai,26,198
8,9,Goran Huskič,CBet,41,193
9,10,Rokas Gustys,Neptūnas,33,189
10,11,Julius Kazakauskas,Gargždai,30,184
11,12,Paulius Danusevičius,Šiauliai,33,183
12,13,Vytenis Lipkevičius,7bet-Lietkabelis,43,182
13,14,Gytis Masiulis,Rytas,43,176
14,15,Jonas Zohore Bergstedt,Šiauliai,33,174
15,16,Martynas Pacevičius,Pieno žvaigždės,25,173
16,17,Martynas Echodas,Rytas,23,168
17,18,Matas Jogėla,Neptūnas,34,167
18,19,Šarūnas Beniušis,Gargždai,33,165
19,20,Rolands Šmits,Žalgiris,40,163
20,21,Žygimantas Skučas,Uniclub Casino - Juventus,34,157
21,22,Kevarrius Hayes,Žalgiris,42,150
22,23,Oskaras Pleikys,Neptūnas,34,146
23,24,Edgaras Ulanovas,Žalgiris,40,146
24,25,Edvinas Šeškus,CBet,40,145
25,26,Arminas Urbutis,Šiauliai,32,142
26,27,Paulius Murauskas,7bet-Lietkabelis,43,140
27,28,Regimantas Miniotas,Wolves,30,137
28,29,Eigirdas Žukauskas,Wolves,34,137
29,30,Kristian Kullamae,7bet-Lietkabelis,45,137
30,31,Deshawn Freeman,Nevėžis–Optibet,21,135
31,32,Achille Polonara,Žalgiris,21,131
32,33,Donatas Sabeckis,Šiauliai,31,130
33,34,Jylan Washington,Gargždai,27,124
34,35,Ignas Vaitkus,Pieno žvaigždės,30,123
35,36,Danielius Lavrinovičius,Nevėžis–Optibet,34,123
36,37,Bradley Davison,Nevėžis–Optibet,35,123
37,38,Deividas Gailius,Neptūnas,33,122
38,39,Arnas Butkevičius,Žalgiris,38,121
39,40,Gyorgy Goloman,7bet-Lietkabelis,42,120
40,41,Gyorgy Goloman,7bet-Lietkabelis,42,120
41,42,Gediminas Orelik,7bet-Lietkabelis,23,118
42,43,Justin Gorham,Rytas,19,117
43,44,Ignas Brazdeikis,Žalgiris,40,116
44,45,Justinas Jogminas,Labas Gas,23,116
45,46,Marcus Foster,Rytas,37,114
46,47,Reginald Lynch,Uniclub Casino - Juventus,21,114
47,48,Dovis Bičkauskis,CBet,43,110
48,49,Justas Furmanavičius,Pieno žvaigždės,29,108
49,50,Martins Laksa,CBet,40,108
50,51,Isiah Osborne,Gargždai,29,108
51,52,Ahmad Caver,Wolves,33,106
52,53,Marcos Delia,Wolves,32,105
53,54,Željko Šakič,7bet-Lietkabelis,32,104
54,55,Evaldas Kairys,Rytas,36,104
55,56,Margiris Normantas,Rytas,39,104
56,57,Evaldas Šaulys,Pieno žvaigždės,33,103
57,58,Darius Tarvydas,Labas Gas,23,102
