,Place,Player,Team,Three_pts_percentage
0,1.,Brigita  Rimkevičiūtė,Šiaulių Šiauliai-Vilmers,"50,00%"
1,2.,Iryna  Savchuk,Šiaulių Šiauliai-Vilmers,"45,45%"
2,3.,Olha  Holodiuk,Šiaulių Šiauliai-Vilmers,"45,00%"
3,4.,Rachel Elise Theriot,Vilniaus Kibirkštis,"44,19%"
4,5.,Saulė  Mikelionytė,Klaipėdos Neptūnas,"43,75%"
5,6.,Uliana  Datsko,Klaipėdos Neptūnas,"39,39%"
6,7.,Lina  Loceniece,Klaipėdos LCC tarptautinis universitetas,"38,93%"
7,8.,Gintarė  Mažionytė,Vilniaus Kibirkštis,"38,64%"
8,9.,Karolina  Kazočiūnaitė,Vilniaus Kibirkštis,"37,68%"
9,10.,Laurita  Jurčiūtė,Klaipėdos LCC tarptautinis universitetas,"36,51%"
10,11.,Viktoria  Balaban,Klaipėdos Neptūnas,"36,05%"
11,12.,Martyna   Petrėnaitė,Kauno Aistės-LSMU,"35,71%"
12,13.,Eglė  Zabotkaitė,Vilniaus Kibirkštis,"33,33%"
13,14.,Agnė  Černeckytė,Klaipėdos Neptūnas,"32,65%"
14,15.,Gabrielė  Šulskė,Vilniaus Kibirkštis,"32,00%"
15,16.,Morgan  Lenahan,Šiaulių Šiauliai-Vilmers,"30,77%"
16,17.,Dalia  Donskichytė,Klaipėdos Neptūnas,"30,43%"
17,18.,Salome  Cordinier,Klaipėdos LCC tarptautinis universitetas,"30,23%"
18,19.,Ligita  Tamutytė,Klaipėdos Neptūnas,"30,23%"
19,20.,Tyra Marie Buss,Kauno Aistės-LSMU,"30,18%"
20,21.,Gedvilė  Savostaitė,Kauno Aistės-LSMU,"29,55%"
21,22.,Yuliia  Hutevych,Šiaulių Šiauliai-Vilmers,"29,03%"
22,23.,Audronė  Zdanevičiūtė,Kauno Aistės-LSMU,"26,15%"
23,24.,Gintarė  Paulauskaitė,Kauno Aistės-LSMU,"24,07%"
24,25.,Elizabete  Bulane,Klaipėdos LCC tarptautinis universitetas,"22,50%"
25,26.,Brigita  Sinickaitė,Klaipėdos Neptūnas,"22,22%"
26,27.,Rūta  Stipra,Šiaulių Šiauliai-Vilmers,"22,22%"
27,28.,Danguolė  Pupkevičiūtė,Šiaulių Šiauliai-Vilmers,"21,74%"
28,29.,Kamilė  Berenytė,Šiaulių Šiauliai-Vilmers,"18,92%"
