,Place,Player,Team,Games,Sum
0,1.,Gintarė  Petronytė,Vilniaus Kibirkštis,20,698
1,2.,Tyra Marie Buss,Kauno Aistės-LSMU,19,345
2,3.,Linda Victorine  Ndoli,Klaipėdos Neptūnas,20,313
3,4.,Gabrielė  Šulskė,Vilniaus Kibirkštis,20,264
4,5.,Maisa Pereira Dias,Klaipėdos LCC tarptautinis universitetas,20,258
5,6.,Gerda  Raulušaitytė,Vilniaus Kibirkštis,21,251
6,7.,Laurita  Jurčiūtė,Klaipėdos LCC tarptautinis universitetas,19,246
7,8.,Maiara  Pereira Dias,Klaipėdos LCC tarptautinis universitetas,20,237
8,9.,Uliana  Datsko,Klaipėdos Neptūnas,20,230
9,10.,Martyna   Petrėnaitė,Kauno Aistės-LSMU,19,223
10,11.,Agnė  Černeckytė,Klaipėdos Neptūnas,20,202
11,12.,Ligita  Tamutytė,Klaipėdos Neptūnas,20,201
12,13.,Gintarė  Paulauskaitė,Kauno Aistės-LSMU,18,194
13,14.,Justina  Miknaitė,Vilniaus Kibirkštis,21,191
14,15.,Dalia  Donskichytė,Klaipėdos Neptūnas,20,187
15,16.,Lina  Loceniece,Klaipėdos LCC tarptautinis universitetas,17,183
16,17.,Karolina  Kazočiūnaitė,Vilniaus Kibirkštis,20,183
17,18.,Gintarė  Mažionytė,Vilniaus Kibirkštis,21,183
18,19.,Eglė  Zabotkaitė,Vilniaus Kibirkštis,20,182
19,20.,Viktoria  Balaban,Klaipėdos Neptūnas,19,179
20,21.,Urtė  Čižauskaitė,Kauno Aistės-LSMU,18,166
21,22.,Morgan  Lenahan,Šiaulių Šiauliai-Vilmers,12,159
22,23.,Rūta  Stipra,Šiaulių Šiauliai-Vilmers,11,153
23,24.,Brigita  Sinickaitė,Klaipėdos Neptūnas,18,147
24,25.,Gedvilė  Savostaitė,Kauno Aistės-LSMU,19,142
25,26.,Rachel Elise Theriot,Vilniaus Kibirkštis,14,128
26,27.,Saulė  Mikelionytė,Klaipėdos Neptūnas,20,124
27,28.,Audronė  Zdanevičiūtė,Kauno Aistės-LSMU,18,123
28,29.,Deimantė  Žukaitė,Kauno Aistės-LSMU,18,107
29,30.,Livija  Sakevičiūtė,Vilniaus Kibirkštis,19,101
30,31.,Ugnė  Sirtautaitė,Vilniaus Kibirkštis,20,94
31,32.,Elizabete  Bulane,Klaipėdos LCC tarptautinis universitetas,16,92
32,33.,Enrika  Matiukaitė,Šiaulių Šiauliai-Vilmers,12,87
33,34.,Brigita  Rimkevičiūtė,Šiaulių Šiauliai-Vilmers,12,84
34,35.,Laura  Juškaitė,Vilniaus Kibirkštis,5,82
35,36.,Danguolė  Pupkevičiūtė,Šiaulių Šiauliai-Vilmers,12,77
36,37.,Kateryna  Chikaodiri Dike,Klaipėdos LCC tarptautinis universitetas,17,62
37,38.,Salome  Cordinier,Klaipėdos LCC tarptautinis universitetas,20,59
38,39.,Amalija  Pašajevaitė,Kauno Aistės-LSMU,12,29
39,40.,Gustė  Drakšaitė,Klaipėdos LCC tarptautinis universitetas,14,21
40,41.,Olha  Holodiuk,Šiaulių Šiauliai-Vilmers,10,18
41,42.,Yuliia  Hutevych,Šiaulių Šiauliai-Vilmers,5,16
42,43.,Kamilė  Mickutė,Klaipėdos Neptūnas,7,16
43,44.,Justina   Kraujūnaitė,Vilniaus Kibirkštis,6,15
44,45.,Neda  Pliatkutė,Kauno Aistės-LSMU,18,11
45,46.,Agnesė  Garčinskaitė,Kauno Aistės-LSMU,8,10
46,47.,Kamilė  Berenytė,Šiaulių Šiauliai-Vilmers,11,8
47,48.,Polina  Korbut,Klaipėdos LCC tarptautinis universitetas,20,5
48,49.,Evelina  Razgutė,Kauno Aistės-LSMU,7,4
49,50.,Saulė  Globytė,Klaipėdos Neptūnas,5,3
50,51.,Iryna  Savchuk,Šiaulių Šiauliai-Vilmers,9,1
51,52.,Karina  Budajeva,Klaipėdos LCC tarptautinis universitetas,10,1
