,Place,Player,Team,Games,Sum,Season
0,1,Jamel Morris,7bet-Lietkabelis,42,625,2022-2023
1,2,Marcus Foster,Rytas,37,612,2022-2023
2,3,Jeffery Garrett,CBet,43,599,2022-2023
3,4,Kristian Kullamae,7bet-Lietkabelis,45,584,2022-2023
4,5,Ahmad Caver,Wolves,33,564,2022-2023
5,6,Goran Huskič,CBet,41,516,2022-2023
6,7,Dovis Bičkauskis,CBet,43,482,2022-2023
7,8,Bradley Davison,Nevėžis–Optibet,35,480,2022-2023
8,9,Joshua Newkirk,Gargždai,33,479,2022-2023
9,10,Edvinas Šeškus,CBet,40,458,2022-2023
10,11,Tim Lambrecht,Nevėžis–Optibet,35,454,2022-2023
11,12,Matas Jogėla,Neptūnas,34,450,2022-2023
12,13,Deividas Gailius,Neptūnas,33,446,2022-2023
13,14,Justin Alston,Uniclub Casino - Juventus,35,440,2022-2023
14,15,Gytis Radzevičius,Rytas,39,438,2022-2023
15,16,Glynn Watson,CBet,30,437,2022-2023
16,17,Martins Laksa,CBet,40,427,2022-2023
17,18,Margiris Normantas,Rytas,39,418,2022-2023
18,19,Edgaras Ulanovas,Žalgiris,40,418,2022-2023
19,20,Kyle Mangas,Šiauliai,33,405,2022-2023
20,21,Laurynas Birutis,Žalgiris,42,402,2022-2023
21,22,Eigirdas Žukauskas,Wolves,34,385,2022-2023
22,23,Elvar Fridriksson,Rytas,42,374,2022-2023
23,24,Marius Valinskas,Nevėžis–Optibet,34,371,2022-2023
24,25,Brandon Brown,Uniclub Casino - Juventus,32,369,2022-2023
25,26,Danielius Lavrinovičius,Nevėžis–Optibet,34,368,2022-2023
26,27,Mindaugas Girdžiūnas,Neptūnas,34,365,2022-2023
27,28,Vytenis Lipkevičius,7bet-Lietkabelis,43,362,2022-2023
28,29,Isiah Osborne,Gargždai,29,360,2022-2023
29,30,Adas Juškevičius,Wolves,33,354,2022-2023
30,31,Deshawn Freeman,Nevėžis–Optibet,21,351,2022-2023
31,32,Gytis Masiulis,Rytas,43,348,2022-2023
32,33,Giedrius Staniulis,Gargždai,26,346,2022-2023
