,Place,Player,Team,Games,Sum,Season
0,1,Gintarė  Petronytė,Vilniaus Kibirkštis,20,426,2022-2023
1,2,Tyra Marie Buss,Kauno Aistės-LSMU,19,391,2022-2023
2,3,Laurita  Jurčiūtė,Klaipėdos LCC tarptautinis universitetas,19,300,2022-2023
3,4,Lina  Loceniece,Klaipėdos LCC tarptautinis universitetas,17,276,2022-2023
4,5,Martyna   Petrėnaitė,Kauno Aistės-LSMU,19,244,2022-2023
5,6,Linda Victorine  Ndoli,Klaipėdos Neptūnas,20,241,2022-2023
6,7,Viktoria  Balaban,Klaipėdos Neptūnas,19,220,2022-2023
7,8,Gabrielė  Šulskė,Vilniaus Kibirkštis,20,215,2022-2023
8,9,Morgan  Lenahan,Šiaulių Šiauliai-Vilmers,12,210,2022-2023
9,10,Agnė  Černeckytė,Klaipėdos Neptūnas,20,208,2022-2023
10,11,Uliana  Datsko,Klaipėdos Neptūnas,20,200,2022-2023
11,12,Ligita  Tamutytė,Klaipėdos Neptūnas,20,190,2022-2023
12,13,Maiara  Pereira Dias,Klaipėdos LCC tarptautinis universitetas,20,189,2022-2023
13,14,Maisa Pereira Dias,Klaipėdos LCC tarptautinis universitetas,20,183,2022-2023
14,15,Gerda  Raulušaitytė,Vilniaus Kibirkštis,21,179,2022-2023
15,16,Justina  Miknaitė,Vilniaus Kibirkštis,21,171,2022-2023
16,17,Dalia  Donskichytė,Klaipėdos Neptūnas,20,170,2022-2023
17,18,Karolina  Kazočiūnaitė,Vilniaus Kibirkštis,20,168,2022-2023
18,19,Eglė  Zabotkaitė,Vilniaus Kibirkštis,20,159,2022-2023
19,20,Audronė  Zdanevičiūtė,Kauno Aistės-LSMU,18,155,2022-2023
20,21,Rūta  Stipra,Šiaulių Šiauliai-Vilmers,11,149,2022-2023
21,22,Gintarė  Mažionytė,Vilniaus Kibirkštis,21,147,2022-2023
22,23,Urtė  Čižauskaitė,Kauno Aistės-LSMU,18,141,2022-2023
23,24,Brigita  Sinickaitė,Klaipėdos Neptūnas,18,135,2022-2023
24,25,Gintarė  Paulauskaitė,Kauno Aistės-LSMU,18,133,2022-2023
25,26,Danguolė  Pupkevičiūtė,Šiaulių Šiauliai-Vilmers,12,126,2022-2023
26,27,Salome  Cordinier,Klaipėdos LCC tarptautinis universitetas,20,125,2022-2023
27,28,Elizabete  Bulane,Klaipėdos LCC tarptautinis universitetas,16,124,2022-2023
28,29,Rachel Elise Theriot,Vilniaus Kibirkštis,14,120,2022-2023
29,30,Saulė  Mikelionytė,Klaipėdos Neptūnas,20,106,2022-2023
30,31,Gedvilė  Savostaitė,Kauno Aistės-LSMU,19,101,2022-2023
31,32,Ugnė  Sirtautaitė,Vilniaus Kibirkštis,20,100,2022-2023
32,33,Enrika  Matiukaitė,Šiaulių Šiauliai-Vilmers,12,85,2022-2023
33,34,Livija  Sakevičiūtė,Vilniaus Kibirkštis,19,80,2022-2023
34,35,Laura  Juškaitė,Vilniaus Kibirkštis,5,68,2022-2023
35,36,Brigita  Rimkevičiūtė,Šiaulių Šiauliai-Vilmers,12,68,2022-2023
36,37,Kateryna  Chikaodiri Dike,Klaipėdos LCC tarptautinis universitetas,17,68,2022-2023
37,38,Deimantė  Žukaitė,Kauno Aistės-LSMU,18,68,2022-2023
38,39,Neda  Pliatkutė,Kauno Aistės-LSMU,18,62,2022-2023
39,40,Polina  Korbut,Klaipėdos LCC tarptautinis universitetas,20,50,2022-2023
40,41,Yuliia  Hutevych,Šiaulių Šiauliai-Vilmers,5,43,2022-2023
41,42,Amalija  Pašajevaitė,Kauno Aistės-LSMU,12,35,2022-2023
42,43,Kamilė  Berenytė,Šiaulių Šiauliai-Vilmers,11,34,2022-2023
43,44,Olha  Holodiuk,Šiaulių Šiauliai-Vilmers,10,28,2022-2023
44,45,Justina  Oficerovaitė,Kauno Aistės-LSMU,14,27,2022-2023
45,46,Gustė  Drakšaitė,Klaipėdos LCC tarptautinis universitetas,14,24,2022-2023
46,47,Iryna  Savchuk,Šiaulių Šiauliai-Vilmers,9,23,2022-2023
47,48,Kamilė  Mickutė,Klaipėdos Neptūnas,7,18,2022-2023
48,49,Justina   Kraujūnaitė,Vilniaus Kibirkštis,6,11,2022-2023
49,50,Agnesė  Garčinskaitė,Kauno Aistės-LSMU,8,9,2022-2023
50,51,Karina  Budajeva,Klaipėdos LCC tarptautinis universitetas,10,8,2022-2023
51,52,Evelina  Razgutė,Kauno Aistės-LSMU,7,7,2022-2023
52,53,Austė  Jurevičiūtė,Klaipėdos LCC tarptautinis universitetas,12,5,2022-2023
53,54,Saulė  Globytė,Klaipėdos Neptūnas,5,3,2022-2023
0,1,Agnė  Černeckytė,Klaipėdos Neptūnas,21,306,2021-2022
1,2,Martyna   Petrėnaitė,Kauno Aistės-LSMU,20,290,2021-2022
2,3,Ligita  Tamutytė,Klaipėdos Neptūnas,21,254,2021-2022
3,4,Savannah  Plentovich,Klaipėdos Neptūnas,20,235,2021-2022
4,5,Dalia  Donskichytė,Klaipėdos Neptūnas,21,234,2021-2022
5,6,Livija  Sakevičiūtė,Vilniaus Kibirkštis-MRU,18,215,2021-2022
6,7,Laurita  Jurčiūtė,Klaipėdos LCC tarptautinis universitetas,10,205,2021-2022
7,8,Gerda  Raulušaitytė,"Vilniaus Kibirkštis-MRU

Vilniaus Kibirkštis-VKM",20,205,2021-2022
8,9,Ugnė  Sirtautaitė,"Vilniaus Kibirkštis-MRU

Vilniaus Kibirkštis-VKM",22,205,2021-2022
9,10,Maisa Pereira Dias,Klaipėdos Neptūnas,20,204,2021-2022
10,11,Gintarė  Paulauskaitė,Kauno Aistės-LSMU,20,190,2021-2022
11,12,Ahiyona  Vason,Šiaulių Šiauliai-Vilmers,12,189,2021-2022
12,13,Urtė  Slavickaitė,Kauno Aistės-LSMU,20,183,2021-2022
13,14,Deimantė  Žukaitė,Kauno Aistės-LSMU,19,175,2021-2022
14,15,Urtė  Bukauskaitė,Šiaulių Šiauliai-Vilmers,17,170,2021-2022
15,16,Amalija  Pašajevaitė,Vilniaus Kibirkštis-VKM,15,164,2021-2022
16,17,Eglė  Zabotkaitė,Vilniaus Kibirkštis-MRU,18,164,2021-2022
17,18,Gabrielė  Šulskė,Vilniaus Kibirkštis-MRU,15,161,2021-2022
18,19,Justina  Miknaitė,Vilniaus Kibirkštis-MRU,15,158,2021-2022
19,20,Sintija  Aukštikalnytė,Vilniaus Kibirkštis-VKM,15,153,2021-2022
20,21,Camille   Droguet,Vilniaus Kibirkštis-MRU,15,147,2021-2022
21,22,Danguolė  Pupkevičiūtė,Šiaulių Šiauliai-Vilmers,17,146,2021-2022
22,23,Greta  Stašelienė,Kauno Aistės-LSMU,20,143,2021-2022
23,24,Gedvilė  Savostaitė,Kauno Aistės-LSMU,20,142,2021-2022
24,25,Andra  Gabalytė,Klaipėdos Neptūnas,14,139,2021-2022
25,26,Dominyka  Paliulytė,Klaipėdos Neptūnas,21,135,2021-2022
26,27,Karolina  Kazočiūnaitė,Vilniaus Kibirkštis-MRU,17,133,2021-2022
27,28,Justina  Oficerovaitė,Šiaulių Šiauliai-Vilmers,17,125,2021-2022
28,29,Donica  Cosby,Šiaulių Šiauliai-Vilmers,6,112,2021-2022
29,30,Brigita  Sinickaitė,Kauno Aistės-LSMU,14,105,2021-2022
30,31,Gabrielė  Sederevičiūtė,Vilniaus Kibirkštis-VKM,15,103,2021-2022
31,32,Klaudija  Janionytė,Šiaulių Šiauliai-Vilmers,16,92,2021-2022
32,33,Audronė  Zdanevičiūtė,Vilniaus Kibirkštis-MRU,13,89,2021-2022
33,34,Brigita  Rimkevičiūtė,Šiaulių Šiauliai-Vilmers,15,88,2021-2022
34,35,Viltė  Andrunavičiūtė,Šiaulių Šiauliai-Vilmers,10,83,2021-2022
35,36,Katrīna  Trankale,Šiaulių Šiauliai-Vilmers,9,81,2021-2022
36,37,Gustė  Drakšaitė,Klaipėdos LCC tarptautinis universitetas,9,80,2021-2022
37,38,Evelina  Razgutė,Šiaulių Šiauliai-Vilmers,15,79,2021-2022
38,39,Neda  Pliatkutė,Kauno Aistės-LSMU,19,76,2021-2022
39,40,Austė  Jurevičiūtė,Klaipėdos LCC tarptautinis universitetas,10,67,2021-2022
40,41,Kateryna  Chikaodiri Dike,Klaipėdos LCC tarptautinis universitetas,11,67,2021-2022
41,42,Allison  Zalin,Klaipėdos Neptūnas,20,62,2021-2022
42,43,Kristė  Timofejeva,Kauno Aistės-LSMU,11,58,2021-2022
43,44,Danielė  Paunksnytė,Vilniaus Kibirkštis-VKM,11,58,2021-2022
44,45,Eva  Pernavaitė,Vilniaus Kibirkštis-VKM,13,58,2021-2022
45,46,Vanja  Petrovic,Klaipėdos LCC tarptautinis universitetas,11,56,2021-2022
46,47,Ugnė  Grigaliūnaitė,Vilniaus Kibirkštis-VKM,14,53,2021-2022
47,48,Saulė  Mikelionytė,Vilniaus Kibirkštis-MRU,14,52,2021-2022
48,49,Enrika  Matiukaitė,Šiaulių Šiauliai-Vilmers,17,49,2021-2022
49,50,Arbe   Hashani,Klaipėdos LCC tarptautinis universitetas,11,29,2021-2022
50,51,Erika  Budajeva,Klaipėdos LCC tarptautinis universitetas,9,27,2021-2022
51,52,Agnesė  Garčinskaitė,Kauno Aistės-LSMU,7,24,2021-2022
52,53,Gabija  Strolytė,Vilniaus Kibirkštis-VKM,9,22,2021-2022
53,54,Gintarė  Buškevičiūtė,Vilniaus Kibirkštis-VKM,11,20,2021-2022
54,55,Kamilė  Mickutė,Klaipėdos Neptūnas,7,19,2021-2022
55,56,Ugnė  Grinkevičiūtė,Klaipėdos Neptūnas,10,19,2021-2022
56,57,Miglė  Kisarauskaitė,Kauno Aistės-LSMU,12,19,2021-2022
57,58,Rusnė  Būgaitė,Klaipėdos LCC tarptautinis universitetas,5,17,2021-2022
58,59,Urtė  Ratavičiūtė,Vilniaus Kibirkštis-VKM,15,17,2021-2022
59,60,Karina  Budajeva,Klaipėdos LCC tarptautinis universitetas,3,16,2021-2022
60,61,Eglė  Kisarauskaitė,Kauno Aistės-LSMU,8,12,2021-2022
61,62,Maria Eduarda Mello Buest,Klaipėdos LCC tarptautinis universitetas,9,12,2021-2022
62,63,Šeila  Gudinskaitė,Vilniaus Kibirkštis-MRU,13,12,2021-2022
63,64,Ema  Januškevičiūtė,Kauno Aistės-LSMU,7,11,2021-2022
64,65,Žaneta  Gustytė,Klaipėdos LCC tarptautinis universitetas,7,10,2021-2022
65,66,Erika Ieva Kraujelis,Klaipėdos LCC tarptautinis universitetas,9,3,2021-2022
